2018-03-22 15:59:56,457 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-03-22 15:59:56,458 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.001) SHOW FULL TABLES; args=None
2018-03-22 15:59:56,463 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.004) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2018-03-22 16:03:09,353 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-03-22 16:03:09,375 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-03-22 16:03:09,376 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.001) SHOW FULL TABLES; args=None
2018-03-22 16:03:09,381 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.004) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2018-03-22 16:03:27,253 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-03-22 16:03:27,275 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-03-22 16:03:27,276 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.001) SHOW FULL TABLES; args=None
2018-03-22 16:03:27,278 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2018-03-22 16:07:03,779 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-03-22 16:07:03,801 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-03-22 16:07:03,801 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.001) SHOW FULL TABLES; args=None
2018-03-22 16:07:03,806 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.004) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2018-03-26 14:19:08,770 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-03-26 14:19:36,032 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-03-26 14:19:36,044 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-03-26 14:19:36,045 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.001) SHOW FULL TABLES; args=None
2018-03-26 14:19:36,047 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2018-03-26 14:19:36,091 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.001) SHOW FULL TABLES; args=None
2018-03-26 14:19:36,092 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.000) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('dashboard', '0014_auto_20180326_1419', '2018-03-26 14:19:36.091650'); args=['dashboard', u'0014_auto_20180326_1419', u'2018-03-26 14:19:36.091650']
2018-03-26 14:19:36,095 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.001) SHOW FULL TABLES; args=None
2018-03-26 14:19:36,096 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2018-03-26 14:19:36,098 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`model` = 'logentry' AND `django_content_type`.`app_label` = 'admin'); args=('logentry', 'admin')
2018-03-26 14:19:36,103 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.001) SELECT `auth_permission`.`content_type_id`, `auth_permission`.`codename` FROM `auth_permission` INNER JOIN `django_content_type` ON ( `auth_permission`.`content_type_id` = `django_content_type`.`id` ) WHERE `auth_permission`.`content_type_id` IN (1) ORDER BY `django_content_type`.`app_label` ASC, `django_content_type`.`model` ASC, `auth_permission`.`codename` ASC; args=(1,)
2018-03-26 14:19:36,105 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE `django_content_type`.`app_label` = 'admin'; args=('admin',)
2018-03-26 14:19:36,107 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`model` = 'permission' AND `django_content_type`.`app_label` = 'auth'); args=('permission', 'auth')
2018-03-26 14:19:36,108 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`model` = 'group' AND `django_content_type`.`app_label` = 'auth'); args=('group', 'auth')
2018-03-26 14:19:36,110 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`model` = 'user' AND `django_content_type`.`app_label` = 'auth'); args=('user', 'auth')
2018-03-26 14:19:36,113 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.001) SELECT `auth_permission`.`content_type_id`, `auth_permission`.`codename` FROM `auth_permission` INNER JOIN `django_content_type` ON ( `auth_permission`.`content_type_id` = `django_content_type`.`id` ) WHERE `auth_permission`.`content_type_id` IN (2, 3, 4) ORDER BY `django_content_type`.`app_label` ASC, `django_content_type`.`model` ASC, `auth_permission`.`codename` ASC; args=(2, 3, 4)
2018-03-26 14:19:36,114 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE `django_content_type`.`app_label` = 'auth'; args=('auth',)
2018-03-26 14:19:36,116 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`model` = 'contenttype' AND `django_content_type`.`app_label` = 'contenttypes'); args=('contenttype', 'contenttypes')
2018-03-26 14:19:36,118 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.000) SELECT `auth_permission`.`content_type_id`, `auth_permission`.`codename` FROM `auth_permission` INNER JOIN `django_content_type` ON ( `auth_permission`.`content_type_id` = `django_content_type`.`id` ) WHERE `auth_permission`.`content_type_id` IN (5) ORDER BY `django_content_type`.`app_label` ASC, `django_content_type`.`model` ASC, `auth_permission`.`codename` ASC; args=(5,)
2018-03-26 14:19:36,120 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE `django_content_type`.`app_label` = 'contenttypes'; args=('contenttypes',)
2018-03-26 14:19:36,121 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`model` = 'session' AND `django_content_type`.`app_label` = 'sessions'); args=('session', 'sessions')
2018-03-26 14:19:36,124 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.000) SELECT `auth_permission`.`content_type_id`, `auth_permission`.`codename` FROM `auth_permission` INNER JOIN `django_content_type` ON ( `auth_permission`.`content_type_id` = `django_content_type`.`id` ) WHERE `auth_permission`.`content_type_id` IN (6) ORDER BY `django_content_type`.`app_label` ASC, `django_content_type`.`model` ASC, `auth_permission`.`codename` ASC; args=(6,)
2018-03-26 14:19:36,125 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE `django_content_type`.`app_label` = 'sessions'; args=('sessions',)
2018-03-26 14:19:36,127 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`model` = 'server' AND `django_content_type`.`app_label` = 'dashboard'); args=('server', 'dashboard')
2018-03-26 14:19:36,128 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`model` = 'department' AND `django_content_type`.`app_label` = 'dashboard'); args=('department', 'dashboard')
2018-03-26 14:19:36,129 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`model` = 'profile' AND `django_content_type`.`app_label` = 'dashboard'); args=('profile', 'dashboard')
2018-03-26 14:19:36,132 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.001) SELECT `auth_permission`.`content_type_id`, `auth_permission`.`codename` FROM `auth_permission` INNER JOIN `django_content_type` ON ( `auth_permission`.`content_type_id` = `django_content_type`.`id` ) WHERE `auth_permission`.`content_type_id` IN (9, 10, 7) ORDER BY `django_content_type`.`app_label` ASC, `django_content_type`.`model` ASC, `auth_permission`.`codename` ASC; args=(9, 10, 7)
2018-03-26 14:19:36,133 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.001) INSERT INTO `auth_permission` (`name`, `content_type_id`, `codename`) VALUES ('Can server info', 10, 'view_server'); args=('Can server info', 10, 'view_server')
2018-03-26 14:19:36,138 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE `django_content_type`.`app_label` = 'dashboard'; args=('dashboard',)
2018-03-26 14:20:20,195 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-03-26 14:20:26,184 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-03-26 14:20:26,199 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-03-26 14:20:26,200 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.001) SHOW FULL TABLES; args=None
2018-03-26 14:20:26,202 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2018-03-26 14:20:26,261 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.001) SHOW FULL TABLES; args=None
2018-03-26 14:20:26,262 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.000) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('dashboard', '0015_auto_20180326_1420', '2018-03-26 14:20:26.262245'); args=['dashboard', u'0015_auto_20180326_1420', u'2018-03-26 14:20:26.262245']
2018-03-26 14:20:26,265 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.000) SHOW FULL TABLES; args=None
2018-03-26 14:20:26,266 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2018-03-26 14:20:26,267 - /root/python27/devopsenv/lib/python2.7/site-packages/django/db/backends/utils.py:89[DEBUG] - (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`model` = 'logentry' AND `django_content_type`.`app_label` = 'admin'); args=('logentry', 'admin')
